address,biz_id,category,image_shown,name,num_reviews,price_range,star_rating,url
661 Albany Shaker Rd,blu-stone-bistro-latham-2,"['American New', 'Tapas/Small Plates', 'Salad']",https://s3-media1.fl.yelpcdn.com/bphoto/HROr1eIHNWVl3sxGdRIwDA/ls.jpg,Blu Stone Bistro,124.0,$$,4.0,https://www.yelp.com/biz/blu-stone-bistro-latham-2?osq=restaurants
113 Everett Rd,pad-thai-noodle-albany,"['Thai', 'Noodles']",https://s3-media3.fl.yelpcdn.com/bphoto/eVgvAAz-46hFNWttJZzE7g/ls.jpg,Pad Thai Noodle,89.0,$$,4.5,https://www.yelp.com/biz/pad-thai-noodle-albany?osq=restaurants
893 Broadway,tanpopo-ramen-and-sake-cafe-albany,"['Salad', 'Ramen', 'Soup']",https://s3-media3.fl.yelpcdn.com/bphoto/dl3gRX6V-GWPzzpWUCJ_KQ/ls.jpg,Tanpopo Ramen and Sake Cafe,318.0,$$,4.0,https://www.yelp.com/biz/tanpopo-ramen-and-sake-cafe-albany?osq=restaurants
340 Central Ave,sheba-al-yemen-albany,"['Arabian', 'Middle Eastern', 'Halal']",https://s3-media4.fl.yelpcdn.com/bphoto/4IhYRldSaOk_80yvWcp7NQ/ls.jpg,Sheba Al-Yemen,23.0,,4.5,https://www.yelp.com/biz/sheba-al-yemen-albany?osq=restaurants
547 Central Ave,jacks-diner-albany,"['Diners', 'Breakfast & Brunch']",https://s3-media1.fl.yelpcdn.com/bphoto/KgzlzpyQByXF7xRwlYcolA/ls.jpg,Jackâs Diner,111.0,$,4.0,https://www.yelp.com/biz/jacks-diner-albany?osq=restaurants
1 Crossgates Mall Rd,spa-mirbeau-albany,"['Day Spas', 'French']",https://s3-media2.fl.yelpcdn.com/bphoto/Bn8Ql0ef1ky1hXDn6BrItw/ls.jpg,Spa Mirbeau,37.0,$$$,4.0,https://www.yelp.com/biz/spa-mirbeau-albany?osq=restaurants
54 Philip St,the-excelsior-pub-albany,"['Pubs', 'American Traditional']",https://s3-media1.fl.yelpcdn.com/bphoto/pne4hUikJ90EhbDJd2IuNw/ls.jpg,The Excelsior Pub,44.0,$,4.5,https://www.yelp.com/biz/the-excelsior-pub-albany?osq=restaurants
2026 Western Ave,mezzanotte-ristorante-albany-2,['Italian'],https://s3-media4.fl.yelpcdn.com/bphoto/fspZuCv8XLAstDZ7ULi8kQ/ls.jpg,MezzaNotte Ristorante,77.0,$$,4.0,https://www.yelp.com/biz/mezzanotte-ristorante-albany-2?osq=restaurants
195 Wolf Rd,reel-seafood-albany-2,"['Seafood', 'Steakhouses', 'Breakfast & Brunch']",https://s3-media4.fl.yelpcdn.com/bphoto/lXtLoeFxE4OEPHRczfIHjQ/ls.jpg,Reel Seafood,256.0,$$$,3.5,https://www.yelp.com/biz/reel-seafood-albany-2?osq=restaurants
1100 Madison Ave,the-point-restaurant-and-lounge-albany,"['American New', 'Cocktail Bars', 'Sandwiches']",https://s3-media3.fl.yelpcdn.com/bphoto/JjhAO4LDFJpqY8R6Lpifcg/ls.jpg,The Point Restaurant and Lounge,194.0,$$,4.0,https://www.yelp.com/biz/the-point-restaurant-and-lounge-albany?osq=restaurants
